Parametre;Coefficient de corellation;Count;Top;List
Dichloronitrobenzène-2,4;0.07901324168000003;25;0.686453946;0.686453946,0.61583005,0.533511711,-0.533128874,-0.459105213,0.43510026,-0.418816912,0.387026015,0.34717824,-0.229596789,0.186870894,0.181926515,-0.177508177,0.174582467,-0.152591019,0.14562241,0.138281644,0.095314782,-0.092742959,0.06960605,0.056654325,-0.026591463,0.005658379,0.004768047,0.001026713
Dichloronitrobenzène-2,3;0.07901324168000003;25;0.686453946;0.686453946,0.61583005,0.533511711,-0.533128874,-0.459105213,0.43510026,-0.418816912,0.387026015,0.34717824,-0.229596789,0.186870894,0.181926515,-0.177508177,0.174582467,-0.152591019,0.14562241,0.138281644,0.095314782,-0.092742959,0.06960605,0.056654325,-0.026591463,0.005658379,0.004768047,0.001026713
Terbumeton désethyl;-0.07899919916000002;25;0.763156954;0.763156954,0.501553636,-0.4208986,-0.402392204,0.382847774,0.381149601,-0.373551171,-0.352412084,-0.346756988,-0.31036655,-0.299594507,-0.231033018,-0.225529201,-0.222416482,0.217648915,-0.217588516,-0.184974294,-0.152888945,-0.148285182,-0.127531992,-0.105931296,-0.070450624,-0.047210246,0.046527568,-0.028052527
Bendiocarbe;0.07818006969565217;23;-0.766292747;-0.766292747,-0.604222661,0.559380714,0.542601604,0.528208861,0.514782342,0.514504752,0.452706605,-0.436886784,0.380554112,-0.366564426,0.315915116,-0.272575891,-0.272242766,0.261667712,0.238566751,0.204145534,0.148279048,0.134931498,-0.094574821,-0.093179839,-0.051334771,-0.04022834
Disulfoton;0.07790308956;25;-0.558281586;-0.558281586,0.55705312,0.550922645,0.455366275,0.448966074,0.425723889,0.383495756,0.363349305,-0.338798471,0.336035564,-0.311911255,0.28471168,-0.256931,-0.229616349,0.217812702,0.203403658,-0.200378542,-0.175288038,-0.164258061,0.157571363,-0.130916881,0.115166374,-0.101234123,-0.09134876,0.0069619
PCB 54;0.0772657068;10;0.577481141;0.577481141,0.515883979,0.334432075,-0.316529271,-0.28240514,-0.14920998,0.148424425,-0.055420161,0,0
Benzo(a)pyrène;0.07670788816666664;24;0.907345016;0.907345016,0.866160822,0.681706273,-0.639545498,0.614684781,0.595268869,0.526309666,-0.521534726,-0.443227395,-0.321935664,-0.26782963,0.237701069,-0.234102111,-0.153654224,0.124195601,-0.108432811,0.093980925,-0.081095262,-0.064158277,0.052010414,-0.02055761,-0.015416611,0.007998201,0.005117498
PCB 153;0.07657530567999998;25;0.898911697;0.898911697,0.598163538,0.586514719,-0.518462431,0.428423038,0.398726401,-0.357342402,0.306633123,-0.257447526,0.242097306,0.233919099,-0.232685757,-0.222582957,-0.185523406,-0.179058104,-0.173140086,0.134225187,0.127888745,0.106622875,0.089223764,-0.079327395,-0.034651371,-0.026099676,0.025291106,0.004063155
Imazalil;0.0759931631875;16;0.862639083;0.862639083,0.707949324,0.588923381,0.471678361,-0.373121509,-0.361800659,-0.348530571,-0.20823181,0.173419281,-0.127267124,-0.113585073,-0.078949184,-0.070369479,0.056258734,0.048647577,-0.011769721
Monolinuron;-0.07593892168000001;25;-0.536854002;-0.536854002,0.504996197,-0.458864877,-0.407458462,-0.397378643,0.392090399,-0.372887744,0.365797955,0.355306201,-0.287627502,-0.278354822,0.251831153,0.250087404,-0.20698467,-0.188476099,-0.183184075,-0.176648519,-0.176162316,-0.164153301,0.136911006,-0.085605709,-0.063033688,-0.061901253,-0.060293341,-0.049624334
Chlorsulfuron;-0.07593892168000001;25;-0.536854002;-0.536854002,0.504996197,-0.458864877,-0.407458462,-0.397378643,0.392090399,-0.372887744,0.365797955,0.355306201,-0.287627502,-0.278354822,0.251831153,0.250087404,-0.20698467,-0.188476099,-0.183184075,-0.176648519,-0.176162316,-0.164153301,0.136911006,-0.085605709,-0.063033688,-0.061901253,-0.060293341,-0.049624334
Diméfuron;-0.07593892168000001;25;-0.536854002;-0.536854002,0.504996197,-0.458864877,-0.407458462,-0.397378643,0.392090399,-0.372887744,0.365797955,0.355306201,-0.287627502,-0.278354822,0.251831153,0.250087404,-0.20698467,-0.188476099,-0.183184075,-0.176648519,-0.176162316,-0.164153301,0.136911006,-0.085605709,-0.063033688,-0.061901253,-0.060293341,-0.049624334
Metsulfuron méthyle;-0.07586610904;25;-0.536854002;-0.536854002,0.504996197,-0.458864877,-0.408741803,-0.397378643,0.392090399,-0.372887744,0.365797955,0.355306201,0.354667932,-0.287627502,-0.278354822,0.250087404,-0.20698467,-0.188476099,-0.183184075,-0.176648519,-0.176162316,-0.164153301,-0.161634375,0.136911006,-0.085605709,-0.063033688,-0.060293341,-0.049624334
Flazasulfuron;-0.07581916116000001;25;-0.536854002;-0.536854002,0.504996197,-0.458864877,-0.411259608,-0.397378643,0.392090399,-0.372887744,0.365797955,0.355306201,-0.287627502,-0.278354822,0.251831153,0.250087404,-0.20698467,-0.188476099,-0.183184075,-0.176648519,-0.176162316,-0.164153301,0.136911006,-0.085605709,-0.063033688,-0.061901253,-0.060293341,-0.042829175
Dipentyl phtalate;0.07578317666666666;12;-0.772959253;-0.772959253,0.735939425,0.657020353,-0.532735019,0.439408198,0.236391163,0.201350287,0.13442774,-0.110652889,-0.082245816,0.074269599,-0.070815668
Oxamyl;-0.07560610278571427;14;0.787451293;0.787451293,-0.466895779,-0.448782765,-0.42766031,0.391790114,-0.308308061,-0.173924025,-0.161509562,-0.146607683,-0.113193539,-0.060871183,0.052613917,0.041282278,-0.023870134
Florasulam;-0.0755310047826087;23;0.622791955;0.622791955,-0.541271947,0.51588995,-0.496380332,-0.445880288,-0.402974049,0.361961599,-0.28082474,-0.244713337,0.218445689,-0.185710897,-0.170222658,-0.158089298,-0.157984641,0.139306753,-0.131436672,-0.091552835,-0.09018586,-0.084597038,-0.054492995,-0.040256059,-0.024218539,0.005183129
Flusilazole;0.07538558681249999;16;0.821832625;0.821832625,0.721122035,-0.384948515,0.371563006,-0.358965052,0.314439677,0.273019163,-0.242395089,-0.206456438,-0.198129574,0.131191315,-0.13022022,0.08778144,-0.072905852,0.066934927,0.012305941
Haloxyfop;0.0749735562857143;14;0.863118189;0.863118189,-0.784808366,-0.720425481,0.69922567,0.551454196,0.542564843,0.456220419,-0.428657935,-0.201691565,0.178376517,-0.164819984,0.087095215,-0.07192319,0.04390126
Clopyralide;0.07432204514285716;14;0.879167292;0.879167292,0.788552223,0.591468584,0.466021725,-0.404172311,-0.345720357,-0.31309755,-0.262941721,-0.251560411,-0.136813015,-0.077961541,0.063792639,0.04839313,-0.004620055
6-Chloro-3-méthylaniline;0.07394925424;25;0.778480866;0.778480866,0.611208494,0.585034262,-0.539223513,0.515370553,-0.435358119,0.43317989,-0.416410824,0.404616702,-0.387248139,0.292962153,0.270232794,-0.231993583,0.197914344,0.196826547,-0.183757561,0.168897367,-0.158029453,-0.142890421,-0.083798217,-0.055660746,0.023449271,0.014107474,-0.005122311,-0.004056474
PCB 28;0.0737245165833333;12;0.785682922;0.785682922,0.546459067,0.530584584,-0.44593084,-0.273099226,0.214126453,-0.187676514,-0.148425127,-0.119256959,-0.075026274,0.050176071,0.007080042
2-hydroxy atrazine;-0.07339634419999999;25;0.707142344;0.707142344,-0.580806896,0.475223206,-0.435662831,0.429084508,-0.423263873,0.330861718,-0.329718501,-0.315930533,-0.307385488,-0.287792287,0.277445,-0.277377581,0.269324251,-0.247048328,-0.202357083,-0.194707549,-0.192327672,-0.175391811,-0.173384255,-0.142769284,-0.098868784,0.09552582,-0.085974628,0.051251932
Pyrène;0.07288354716666666;24;0.908538427;0.908538427,0.732580575,0.703998567,-0.603088599,0.465491384,-0.42358873,0.394576445,0.363169944,-0.361076195,0.30167461,0.290207461,-0.267123939,-0.225963867,0.210666242,-0.194449554,-0.17617194,-0.162439498,-0.073605719,-0.06685631,-0.033625948,-0.024749021,-0.023322209,0.013630943,0.000732063
Endosulfan sulfate;0.07244725036;25;0.764830589;0.764830589,0.707692391,-0.616035657,-0.476090959,-0.472288691,0.416253015,-0.413883093,0.404297421,0.399822212,0.392185885,0.387173148,0.349060631,0.323184079,-0.262501004,-0.261856576,0.255070429,0.253728001,-0.202972322,0.18829424,-0.187503912,0.175700533,-0.142799048,-0.106630005,-0.088343272,0.024793224
Tribenuron-Methyle;0.07234667659999999;10;0.785031599;0.785031599,-0.547774603,0.379670064,-0.320037877,0.206280427,0.175171998,-0.170567274,0.162908803,0.129469567,-0.076685938
Chlorophénol-4;0.07192646016;25;0.672869191;0.672869191,0.615750172,0.584514007,0.519018197,-0.491347091,0.48812947,0.481927291,0.454745545,-0.366073649,-0.347676748,0.297921796,-0.287672485,-0.230640061,-0.216395954,-0.166251508,0.134866397,-0.109924753,-0.107426657,-0.098172237,0.081819907,-0.07006509,0.049277124,-0.042657814,-0.032124169,-0.016249377
Dichlorophenol-2,4;0.07118720523999998;25;0.72216529;0.72216529,0.615750172,0.534593881,0.513282006,-0.491347091,0.460035108,0.454745545,0.445275683,-0.366073649,-0.347676748,0.297921796,-0.287672485,-0.230640061,-0.22611345,0.193238271,-0.166251508,-0.109924753,-0.107426657,-0.098172237,0.075136304,-0.042657814,-0.032124169,-0.016999772,-0.016249377,0.006865846
Métalaxyl;-0.071175542;25;-0.536854002;-0.536854002,0.504996197,-0.458864877,0.412265333,-0.410862785,-0.397378643,0.365662606,0.355306201,-0.331353378,-0.287627502,-0.278354822,0.243536239,0.241666111,-0.20698467,-0.188476099,-0.176648519,-0.176162316,-0.164153301,0.136911006,-0.131111016,-0.063033688,-0.061901253,-0.060293341,-0.060047697,-0.049624334
Oxydéméton-méthyl;-0.07096750936000001;25;0.707949324;0.707949324,0.482296173,-0.402495224,-0.397378643,0.392090399,-0.372887744,0.365797955,-0.359749008,-0.358482103,-0.293546711,-0.278354822,0.251831153,-0.24346211,-0.20710728,-0.194990286,-0.183184075,-0.176162316,0.169481788,-0.131795726,-0.127267124,-0.119119466,-0.085605709,-0.078949184,-0.071195742,-0.061901253
Chloroaniline-3;0.07085021836000001;25;0.857271338;0.857271338,0.587342058,0.586419296,0.54083575,-0.528106753,0.515767319,0.481439634,0.430306411,-0.418394795,-0.411093512,-0.384550854,-0.381914459,0.353228544,0.282296029,-0.267691915,-0.260173947,-0.150373494,-0.133162358,0.105833604,-0.104389065,0.076442925,0.021991821,-0.021222186,-0.013065006,0.006219074
Chloroaniline-2;0.07085021836000001;25;0.857271338;0.857271338,0.587342058,0.586419296,0.54083575,-0.528106753,0.515767319,0.481439634,0.430306411,-0.418394795,-0.411093512,-0.384550854,-0.381914459,0.353228544,0.282296029,-0.267691915,-0.260173947,-0.150373494,-0.133162358,0.105833604,-0.104389065,0.076442925,0.021991821,-0.021222186,-0.013065006,0.006219074
Métoxuron;-0.07077732248000002;25;-0.536854002;-0.536854002,0.504996197,-0.458864877,0.412265333,-0.407458462,-0.397378643,0.365662606,0.355306201,-0.331353378,-0.287627502,-0.278354822,0.250087404,0.241666111,-0.20698467,-0.188476099,-0.176648519,-0.176162316,-0.164153301,0.136911006,-0.131111016,-0.063033688,-0.061901253,-0.060293341,-0.060047697,-0.049624334
Monuron;-0.07077732248000002;25;-0.536854002;-0.536854002,0.504996197,-0.458864877,0.412265333,-0.407458462,-0.397378643,0.365662606,0.355306201,-0.331353378,-0.287627502,-0.278354822,0.250087404,0.241666111,-0.20698467,-0.188476099,-0.176648519,-0.176162316,-0.164153301,0.136911006,-0.131111016,-0.063033688,-0.061901253,-0.060293341,-0.060047697,-0.049624334
Chlordécone;0.07074073609999998;10;0.910540648;0.910540648,0.761959289,-0.433843562,-0.211519904,-0.206894732,-0.123430614,0.107012599,-0.090691961,-0.073506333,0.067781931
Prosulfuron;-0.07060467484;25;-0.536854002;-0.536854002,0.504996197,-0.458864877,0.412265333,-0.403142271,-0.397378643,0.365662606,0.355306201,-0.331353378,-0.287627502,-0.278354822,0.250087404,0.241666111,-0.20698467,-0.188476099,-0.176648519,-0.176162316,-0.164153301,0.136911006,-0.131111016,-0.063033688,-0.061901253,-0.060293341,-0.060047697,-0.049624334
Ethion;-0.0705408604;25;0.657880869;0.657880869,-0.569760999,-0.532853305,-0.522655487,0.48103582,-0.456743156,-0.417566981,-0.413503632,-0.390071194,0.367656631,0.362563981,-0.340854288,-0.339407825,0.307702075,0.242006776,-0.224869186,0.202096791,-0.198429219,0.162076163,-0.145338296,-0.131882956,0.080957973,0.071757131,-0.025345432,0.010026236
Pyrimiphos-éthyl;-0.0705408604;25;0.657880869;0.657880869,-0.569760999,-0.532853305,-0.522655487,0.48103582,-0.456743156,-0.417566981,-0.413503632,-0.390071194,0.367656631,0.362563981,-0.340854288,-0.339407825,0.307702075,0.242006776,-0.224869186,0.202096791,-0.198429219,0.162076163,-0.145338296,-0.131882956,0.080957973,0.071757131,-0.025345432,0.010026236
Diuron;-0.07040331568;25;-0.454518656;-0.454518656,0.391790114,-0.387201006,-0.383069254,-0.357807995,0.345911174,-0.317673009,-0.277852205,-0.271048796,0.265622505,0.250087404,0.215979855,-0.204079626,-0.201878507,0.196384943,-0.176648519,-0.173924025,-0.16875067,-0.164153301,0.155922102,0.15295434,-0.110918063,-0.055394566,-0.021214095,-0.008603036
Picoxystrobine;-0.07028453321739131;23;0.754411571;0.754411571,-0.536854002,0.504996197,-0.496380332,-0.458864877,-0.411259608,0.355306201,-0.287627502,0.250087404,-0.226094218,-0.20698467,-0.188476099,-0.176648519,-0.164153301,0.136911006,-0.112693248,-0.100932296,-0.096138933,-0.063033688,-0.060293341,-0.049624334,0.012619196,0.005183129
Isoxaflutole;-0.07025865036;25;0.532903009;0.532903009,-0.518946957,-0.422242703,-0.41681424,0.404643336,-0.397294735,-0.378023467,-0.37172369,0.342053576,0.333541211,0.302760121,-0.268333344,-0.224437443,-0.188570258,-0.171787192,-0.150750927,-0.147211438,0.143044139,-0.126803003,-0.119634935,0.10887133,-0.107599491,0.086167529,-0.024576133,0.024299446
Hexabromodiphényl éther (congénère 153);0.07018072295000001;20;0.848934785;0.848934785,0.572131636,-0.535791639,-0.533931969,0.521638059,0.412090596,-0.408266304,0.353934903,-0.329712035,-0.279878921,-0.278314345,0.269509647,0.25667144,0.233479841,0.178619211,-0.170459843,0.157489692,0.152435654,-0.143361631,0.126395682
Coumatétralyle;-0.06973085465217391;23;0.776833147;0.776833147,-0.536854002,0.504996197,-0.458864877,-0.448782765,-0.407458462,0.355306201,-0.295995004,-0.287627502,0.250087404,-0.20698467,-0.188476099,-0.176648519,-0.164153301,-0.161509562,0.136911006,-0.120543668,-0.068870473,-0.063033688,-0.060293341,0.052613917,-0.049624334,0.015162738
Nickel;0.06969691514285714;21;0.715801467;0.715801467,-0.684835562,0.466120564,0.441316912,0.418757064,0.372770553,0.35346377,0.2761831,0.259020599,-0.207770461,-0.204173936,-0.201366489,-0.169450114,-0.155082903,-0.133236032,-0.106207666,0.078638008,-0.06530373,-0.050244099,0.047677687,0.011556486
Sulcotrione;-0.0696480385652174;23;0.776833147;0.776833147,-0.536854002,0.504996197,-0.458864877,-0.448782765,-0.405553692,0.355306201,-0.295995004,-0.287627502,0.250087404,-0.20698467,-0.188476099,-0.176648519,-0.164153301,-0.161509562,0.136911006,-0.120543668,-0.068870473,-0.063033688,-0.060293341,0.052613917,-0.049624334,0.015162738
Myclobutanil;-0.06961831787499999;16;0.707949324;0.707949324,-0.476358576,-0.429433896,0.426842976,-0.373121509,-0.350286491,-0.348530571,0.334142522,0.294721357,-0.208918571,-0.20823181,-0.13303397,-0.127267124,-0.113355137,-0.078949184,-0.030062426
Chloroaniline-4;0.06919963344;25;0.763872742;0.763872742,0.627353821,-0.528106753,0.519770054,0.444179397,0.432131537,-0.418394795,0.414475926,-0.404193582,-0.384550854,-0.379347584,0.377207468,0.347519225,-0.286147254,0.271635054,0.271346111,-0.267691915,0.261550727,-0.191823823,-0.150373494,0.103172646,-0.090273951,-0.083594158,0.05828247,0.021991821
Orthophosphates (PO4);0.06903716221874999;32;-0.722738489;-0.722738489,0.706979444,0.691420923,0.663940978,-0.578128283,0.545814797,0.492202762,-0.492131506,-0.449549694,0.417702928,0.397268181,0.37843692,0.345078075,-0.343120563,-0.342483216,0.336102907,0.333137189,-0.302476531,0.301224097,-0.264774147,0.246912558,0.223031599,-0.192253814,-0.141545502,0.133497742,-0.103934236,-0.081895316,-0.07787603,0.077433651,0.073993273,-0.071642139,0.009560633
Zinc;0.0689987179047619;21;0.79801568;0.79801568,0.751169971,0.601259587,0.58334345,-0.557282522,0.477533737,0.457084844,-0.368225143,-0.355403366,0.349625049,-0.260608221,-0.259996619,-0.21088153,-0.17867744,-0.173533277,-0.167872494,0.124981164,-0.104027875,-0.043023627,-0.009476088,-0.005032204
Dichlorofenthion;0.06873239228;25;0.547317287;0.547317287,-0.532903009,0.422242703,0.397378643,0.394026447,-0.392090399,0.372887744,-0.372337159,-0.365797955,0.278354822,0.268333344,-0.251831153,0.183184075,0.176162316,-0.163432075,0.150750927,0.147211438,-0.143044139,0.138599177,0.126803003,0.12006049,0.085605709,0.061901253,0.044350185,0.024576133
Sulfosulfuron;-0.06873239228;25;-0.547317287;-0.547317287,0.532903009,-0.422242703,-0.397378643,-0.394026447,0.392090399,-0.372887744,0.372337159,0.365797955,-0.278354822,-0.268333344,0.251831153,-0.183184075,-0.176162316,0.163432075,-0.150750927,-0.147211438,0.143044139,-0.138599177,-0.126803003,-0.12006049,-0.085605709,-0.061901253,-0.044350185,-0.024576133
Mesosulfuron methyle;-0.06873239228;25;-0.547317287;-0.547317287,0.532903009,-0.422242703,-0.397378643,-0.394026447,0.392090399,-0.372887744,0.372337159,0.365797955,-0.278354822,-0.268333344,0.251831153,-0.183184075,-0.176162316,0.163432075,-0.150750927,-0.147211438,0.143044139,-0.138599177,-0.126803003,-0.12006049,-0.085605709,-0.061901253,-0.044350185,-0.024576133
Mépronil;-0.06858808936363638;22;-0.782070501;-0.782070501,-0.726886279,0.724157598,0.686939585,0.530135053,-0.441217042,-0.427576836,-0.422387063,0.401636878,-0.390123116,-0.321487227,-0.313481237,-0.264741579,-0.209358947,0.198575706,0.117442755,0.081983102,0.074905516,-0.059118705,0.054687039,-0.013526256,-0.00742641
Cyanures libres;0.06853678094444444;18;0.655179571;0.655179571,0.615205298,0.584373049,-0.580880649,-0.307816783,0.291720335,0.273816128,0.252442317,-0.250711132,-0.233436031,0.210385432,-0.126435471,0.10910494,-0.107133592,-0.097601282,-0.093396254,0.034375181,0.004471
Tétrachlorure de carbone;-0.06850178823999999;25;0.663594525;0.663594525,0.58036035,-0.484381281,-0.429468349,-0.415720741,0.399003832,-0.372887744,0.368801907,-0.343608052,-0.32810631,0.322842214,-0.317554936,-0.256292169,-0.239742521,-0.237750628,-0.210524382,-0.155103283,0.149245566,-0.147689811,-0.139042829,-0.101283465,0.076576941,-0.072092751,-0.034569359,0.01284857
Epoxiconazole;0.06806298306249998;16;0.84345058;0.84345058,0.721122035,0.567566956,0.488063761,-0.384948515,-0.3575459,-0.346170727,-0.198129574,0.143562508,-0.13022022,-0.123585395,-0.09272351,-0.072905852,0.056900786,-0.046892291,0.021463087
2,4-MCPA;-0.06797134172;25;-0.683834746;-0.683834746,0.664109882,0.638117685,-0.603262732,-0.461318313,-0.456743156,-0.442180862,0.41554892,-0.377293567,0.373204359,0.366541997,-0.357807995,-0.271048796,-0.24470965,-0.231505169,-0.219238047,0.215090316,-0.204660435,0.202096791,-0.163105844,-0.161769765,0.13438177,0.104255061,0.09739012,-0.031541367
fluridone;-0.06790762334782609;23;0.776833147;0.776833147,0.721122035,0.485847846,-0.448782765,-0.383862966,-0.37216393,-0.367928299,-0.304916025,-0.295995004,-0.26456325,-0.19973427,-0.191925309,-0.161509562,-0.150879395,0.145507016,-0.143595523,-0.132444747,-0.120543668,-0.078340998,-0.072905852,-0.068870473,0.052613917,0.015162738
Cobalt;0.06752375271428572;21;0.821347071;0.821347071,0.553603379,0.487796519,0.425595303,-0.399721624,-0.383252137,-0.383198806,-0.340794099,0.299412476,0.240925666,0.23667562,0.228353091,0.199950769,-0.194831315,-0.171245893,0.159297042,-0.125596831,-0.124856278,-0.074771587,-0.023775002,-0.012914557
Cadmium;0.06749925428571431;21;0.891535266;0.891535266,0.615750172,0.615037296,-0.53736904,0.465147445,0.446051244,-0.395945028,-0.364640197,-0.352660202,0.253562171,-0.225884663,0.207787778,0.138543529,-0.107426657,-0.099967341,0.070566589,-0.057991189,-0.050302727,-0.047807491,-0.032124169,-0.014378446
Linuron;-0.0672608982;25;-0.547317287;-0.547317287,0.532903009,-0.422242703,-0.397378643,-0.394026447,0.392090399,-0.372887744,0.372337159,0.365797955,-0.278354822,-0.268333344,0.251831153,-0.183184075,0.179831491,-0.176162316,0.163432075,-0.150750927,-0.147211438,-0.138599177,-0.126803003,-0.12006049,-0.085605709,-0.061901253,-0.044350185,-0.024576133
Diéthofencarbe;0.06723132607142857;14;-0.766292747;-0.766292747,0.513247236,0.479210648,0.446313538,0.396526387,-0.366564426,0.323579407,-0.272575891,0.22493158,-0.202859568,0.148279048,0.067725852,-0.04022834,-0.010054159
tétrabromodiphényl éther (congénère 47);0.06695524359999998;20;0.916923011;0.916923011,0.590454352,-0.587451967,0.578383714,-0.473407834,0.41839406,-0.387660814,-0.380878094,0.348098522,-0.290440381,0.281116122,0.229979625,0.213482243,-0.170017923,0.147837601,-0.060361208,-0.045077123,0.032387884,-0.020131447,-0.002525471
Tetraconazole;0.06672278999999998;16;0.84345058;0.84345058,0.721122035,0.572557387,0.472275237,-0.384948515,-0.358965052,-0.351548913,-0.198129574,0.161618095,-0.13022022,-0.123585395,-0.09272351,-0.072905852,-0.046892291,0.034997541,0.021463087
Flutriafol;0.06667923249999999;16;0.84345058;0.84345058,0.721122035,0.567996677,0.472275237,-0.381084725,-0.358965052,-0.351548913,-0.198129574,0.161618095,-0.13022022,-0.123585395,-0.09272351,-0.072905852,-0.046892291,0.034997541,0.021463087
Arsenic;0.06663111333333334;21;0.872657693;0.872657693,-0.607370165,0.60142974,-0.54930401,0.530698562,0.505913559,0.46751191,0.452837676,-0.442239389,0.385008831,-0.322266886,-0.283935073,0.205998665,-0.159597244,-0.14871169,-0.111187546,0.055416678,0.039197689,-0.038858338,-0.035649028,-0.018298254
Lénacile;0.06619142080000001;25;0.890385586;0.890385586,0.686672032,0.595151519,0.431716422,0.39664266,-0.360480295,-0.314517122,-0.295973509,-0.294428062,-0.254902098,0.245267809,-0.219992655,0.190089981,-0.184009555,-0.158185901,0.139455294,0.077947106,-0.072202249,0.067666281,0.057070337,-0.054890079,0.047507237,0.023429995,0.012709048,0.002655738
PCB 170;0.0661377975;18;0.650319722;0.650319722,0.602650969,-0.527747543,0.502317154,-0.496380332,0.447862131,-0.432712311,0.366351574,0.335707066,-0.237318709,-0.187577447,0.16408162,0.157394626,-0.151681532,0.126202746,-0.083123689,-0.051048819,0.005183129
Trichlorophénol-2,3,6;-0.06501467888;25;-0.795660968;-0.795660968,-0.666092327,0.645068204,0.614133932,0.61343305,-0.547432702,0.523532128,-0.465276386,-0.461280123,0.445936069,-0.410241841,-0.396961529,-0.365559032,-0.350799817,0.293354092,-0.25819889,0.253912968,-0.246753607,-0.226719803,-0.200493486,0.132894669,0.127797269,0.113390463,0.046651927,-0.044001232
Ioxynil;-0.0649748096;25;0.771318435;0.771318435,-0.707496485,0.70181789,-0.635544758,-0.600923287,-0.582936977,0.580270158,0.451545399,0.424918638,-0.423873546,-0.363970603,-0.360701084,-0.34435004,-0.274511871,0.164979798,-0.118488804,-0.113052483,-0.105898878,-0.087822607,0.077451676,-0.070951978,-0.044694764,0.030190322,0.026314962,-0.017959353
Monobutylétain cation;0.06489083582608697;23;0.901653628;0.901653628,0.814523126,-0.672183015,-0.638170207,0.524443574,0.494689816,0.466926209,-0.421008525,0.296024062,-0.286905527,0.250537426,-0.183857844,0.166366026,0.145747696,-0.124396698,-0.118443734,-0.115933494,-0.106948476,0.080604683,-0.08032543,0.069693106,0.061878313,-0.032425491
2-Naphtol;0.06473721189473684;19;-0.829599234;-0.829599234,-0.690902594,0.670141854,0.560051477,0.519018197,0.505188575,0.481927291,0.444277719,-0.407193204,-0.397230673,-0.23406854,0.229161164,0.217681131,-0.20283761,0.153651933,0.145869516,0.139593775,-0.124000875,0.049277124
Fludioxonil;-0.06430579016000001;25;-0.536854002;-0.536854002,0.504996197,-0.458864877,-0.395885417,0.391790114,0.373204359,-0.357807995,0.355306201,-0.287627502,-0.271048796,0.250087404,-0.20698467,-0.201878507,0.196384943,-0.188476099,-0.176648519,-0.173924025,-0.164153301,-0.13770835,0.136911006,-0.080405193,-0.060871183,-0.060293341,-0.049624334,-0.007268867
Triasulfuron;-0.06407385176000001;25;-0.536854002;-0.536854002,0.504996197,-0.458864877,-0.407458462,0.391790114,0.373204359,-0.357807995,0.355306201,-0.287627502,-0.271048796,0.250087404,-0.20698467,-0.201878507,0.196384943,-0.188476099,-0.176648519,-0.173924025,-0.164153301,-0.13770835,0.136911006,-0.063033688,-0.060871183,-0.060293341,-0.049624334,-0.007268867
Pyraclostrobine;-0.06406258191304348;23;0.74918055;0.74918055,-0.547317287,0.532903009,-0.53215204,-0.422242703,-0.398401734,0.372337159,-0.268333344,-0.210110074,0.163432075,-0.155374449,-0.150750927,-0.147211438,0.143044139,-0.138599177,-0.126803003,-0.12006049,-0.100042169,-0.044350185,-0.037474825,-0.024576133,-0.014939342,0.004403004
Triallate;0.06382620400000001;14;0.911178063;0.911178063,-0.668570673,0.561011491,0.528404869,-0.43848233,0.362679888,-0.344788175,-0.284573291,0.236875213,0.181986409,-0.164080041,0.158125957,-0.150919945,0.004719421
Chlorure de vinyle;0.06349280133333333;21;0.867909134;0.867909134,-0.646752691,0.614684781,0.590756465,0.498206081,0.417634978,-0.360152725,0.299524739,-0.254329961,-0.237966102,-0.232570011,0.229049793,-0.203417439,-0.148400812,-0.143500515,-0.133246367,0.1213882,0.10095996,-0.057625748,0.033010912,-0.021813844
Méthidathion;-0.06344413448000004;25;-0.588312769;-0.588312769,0.489956766,-0.456187185,-0.407924517,0.309892957,0.287286988,-0.253322075,-0.229616349,-0.197944023,-0.175288038,0.174497427,-0.164258061,-0.154194737,-0.141382318,0.13129272,-0.130916881,0.096546485,0.096341377,-0.094837281,-0.088022704,-0.087448848,0.076482539,-0.065343557,-0.029269161,0.015867883
Triflusulfuron-methyl;-0.06340671496;25;-0.547317287;-0.547317287,0.532903009,-0.422242703,-0.397378643,0.392090399,-0.372887744,0.372337159,0.365797955,-0.28957758,-0.278354822,-0.268333344,0.251831153,-0.183184075,-0.176162316,0.163432075,-0.150750927,-0.147211438,0.143044139,-0.138599177,-0.126803003,-0.12006049,-0.085605709,-0.044350185,-0.033208187,-0.024576133
Chloronitrobenzène-1,3;0.06329863320000001;25;0.846557383;0.846557383,0.584484499,-0.556317479,0.533888007,0.52580156,-0.487052708,0.459760204,0.451652112,-0.378704183,-0.325607793,-0.297535858,0.287675997,0.274329575,-0.248659362,-0.237752917,-0.225610228,0.225343289,0.153602121,-0.151400368,-0.145818085,0.129839845,0.120382078,0.077895333,-0.021222186,-0.013065006
Dinitrotoluène-2,6;-0.06324901894444443;18;0.811928932;0.811928932,-0.660161276,-0.576987048,0.539084695,0.536786579,0.510621502,-0.457086991,-0.455701711,-0.365116438,-0.361517655,-0.321059627,-0.250476441,0.250188535,-0.192297967,-0.178863639,-0.092948296,0.079130244,0.045994261
Dichlorvos;-0.06324856900000002;25;-0.570000115;-0.570000115,-0.450873421,0.445947404,0.432260282,0.394039619,-0.368875807,-0.34406773,-0.334242438,-0.2778531,0.275317,-0.250615754,-0.192141461,-0.176463509,0.151625659,-0.142442388,-0.138744824,-0.120706541,-0.104085147,0.101230761,-0.070977079,0.063165953,0.059615505,0.049979373,-0.034984109,0.022677642
