Parametre;Coefficient de corellation;Count;Top;List
DDD 24';0.16780615799999998;20;0.865272333;0.865272333,0.617486981,0.519018197,0.48812947,0.481927291,0.227581613,0.089384676,0.049277124,0.039907669,-0.021862194,0,0,0,0,0,0,0,0,0,0
Captafol;0.16383482466666666;12;-0.788729188;-0.788729188,0.735939425,0.657020353,0.568223322,0.449594538,0.295734213,0.227479177,-0.110652889,-0.070815668,-0.066957322,0.066155731,0.003026204
Dichlorobenzène-1,3;0.16254704025;12;0.655913273;0.655913273,0.616203689,0.54841966,0.280960347,-0.228988251,0.22560722,0.21061617,-0.198462511,-0.16354178,-0.087320512,0.07599696,0.015160218
Para-sec-butylphenol;0.16149740394736842;19;0.865272333;0.865272333,0.617486981,0.519018197,0.48812947,0.481927291,-0.287672485,0.227581613,0.089384676,0.049277124,0.039907669,-0.021862194,0,0,0,0,0,0,0,0
Cyromazine;0.16088804489473685;19;0.932483357;0.932483357,0.867947363,0.693004745,-0.535794564,0.446291428,0.415954974,-0.390083287,-0.377159722,0.337318922,-0.320420651,-0.310154467,0.306330605,0.258115046,0.232019899,0.190453833,0.145688904,0.117030449,0.110625542,-0.062779523
propaquizafop;0.15658719092;25;0.715522536;0.715522536,-0.664376319,0.646193613,0.541170958,0.491347091,-0.489776612,0.477435702,0.406012172,0.338471062,0.307956424,0.287672485,-0.243625033,0.230640061,0.220623887,0.188856916,0.166251508,0.143910214,0.12561809,0.10579433,-0.105202341,-0.052186166,0.042657814,0.032124169,0.001587212,0
4-Chloro-2-méthylaniline;0.15647269041666667;12;0.546459067;0.546459067,0.493044793,0.442447367,0.397561126,0.344118769,-0.303490282,-0.228837466,0.214126453,-0.119256959,0.115532358,-0.031112983,0.007080042
Dicofol;0.15500882016666667;12;0.59571418;0.59571418,-0.577564723,-0.546459067,0.495202808,0.453098025,0.383230708,0.336009791,0.310095027,0.212652415,0.19292739,0.093719704,-0.088520416
Phoxime;-0.15298982981249998;16;0.622943362;0.622943362,-0.486311048,-0.434560537,-0.34739667,-0.343918927,-0.324488322,-0.295649518,-0.254330871,-0.250831855,-0.220561612,0.10618543,-0.090275399,-0.086474723,-0.084539673,0.069899686,-0.0275266
Triazophos;0.1510744836818182;22;0.860662966;0.860662966,0.73906187,0.646193613,-0.489776612,0.477435702,-0.458611659,0.406012172,0.387570252,0.325306075,-0.246030876,0.199282771,0.16488713,0.143910214,0.12561809,0.10579433,-0.105202341,0.039937732,0.001587212,0,0,0,0
4-tert-butylphénol;0.14901290348;25;0.773615792;0.773615792,0.663746518,0.581922068,-0.441078961,0.423474287,0.395782203,0.388284587,0.373067458,0.342753088,0.337231157,-0.314628368,-0.302552866,-0.281865324,0.259250113,-0.208288137,0.14181129,0.134087493,0.133432813,-0.124134082,0.109108227,0.10460683,0.082710878,0.081301965,0.044078486,0.027605072
